"","14-3-3_epsilon","4E-BP1","4E-BP1_pS65","4E-BP1_pT37","4E-BP1_pT70","53BP1","A-Raf_pS299","ACC1","ACC_pS79","AMPK_alpha","AMPK_pT172","ANLN","AR","ARID1A","ASNS","ATM","Akt","Akt_pS473","Akt_pT308","Annexin_I","B-Raf","Bak","Bax","Bcl-2","Bcl-xL","Beclin","Bid","Bim","C-Raf","C-Raf_pS338","CD31","CD49b","CDK1","Caspase-7_cleavedD198","Caveolin-1","Chk1","Chk1_pS345","Chk2","Chk2_pT68","Claudin-7","Collagen_VI","Cyclin_B1","Cyclin_D1","Cyclin_E1","DJ-1","Dvl3","E-Cadherin","EGFR","EGFR_pY1068","EGFR_pY1173","ER-alpha","ER-alpha_pS118","ERK2","FOXO3a","Fibronectin","GAB2","GATA3","GSK3-alpha-beta","GSK3-alpha-beta_pS21_S9","HER2","HER2_pY1248","HER3","HER3_pY1289","HSP70","IGFBP2","INPP4B","IRS1","JNK2","JNK_pT183_pT185","K-Ras","Ku80","LBK1","Lck","MAPK_pT202_Y204","MEK1","MEK1_pS217_S221","MIG-6","Mre11","N-Cadherin","NF-kB-p65_pS536","NF2","Notch1","P-Cadherin","PAI-1","PCNA","PDCD4","PDK1_pS241","PI3K-p110-alpha","PKC-alpha","PKC-alpha_pS657","PKC-delta_pS664","PR","PRAS40_pT246","PRDX1","PTEN","Paxillin","Pea-15","RBM3","Rad50","Rb_pS807_S811","S6","S6_pS235_S236","S6_pS240_S244","SCD1","STAT3_pY705","STAT5-alpha","Shc_pY317","Smad1","Smad3","Smad4","Src","Src_pY416","Src_pY527","Stathmin","Syk","Transglutaminase","Tuberin","VEGFR2","XBP1","XRCC1","YAP_pS127","YB-1","YB-1_pS102","alpha-Catenin","beta-Catenin","c-Kit","c-Met_pY1235","c-Myc","eEF2","eEF2K","eIF4E","mTOR","mTOR_pS2448","p27","p27_pT157","p27_pT198","p38_MAPK","p38_pT180_Y182","p53","p70S6K","p70S6K_pT389","p90RSK_pT359_S363"
"A0SH",-0.214637721567046,-0.0348711959554361,-0.149239343862741,-0.114104647979502,0.188328137271659,-0.230038228707307,0.216368480680709,1.36122710480548,1.51253243664957,0.314779942199436,0.118362473363852,-0.127972588258397,0.128472042565845,-0.440709324249111,-0.0905650639064925,6.4424238579025e-05,0.27624053370992,0.507622077164699,0.483702820778609,0.290133279688814,-0.235040546938807,-0.0119610276796078,-0.149454068716039,0.336745712432229,-0.324194946256786,-0.20293703395872,-0.167535479856436,-0.573311350958363,-0.047056333304976,-0.0547016191786009,-0.288692540187136,0.081381521750324,0.145565447384679,-0.486301055091009,0.080573412867889,-6.4424238579025e-05,-0.145576337141038,-0.0548715438627161,-0.0403015598730709,-0.445626806236175,-0.976138020729382,-1.65020232902768,-0.39324692581476,-0.154891847970771,0.055508372606155,0.496817603758814,-0.041071552485523,0.123784187182992,0.425405240349064,-0.137827696569576,-1.61366300290434,-0.473048074496531,0.120338247776139,0.0816172902944095,-0.106317926763986,-0.317216297285048,-0.422294054110771,0.00411891893071917,0.767145291761559,0.475865849280427,0.407839855074764,-0.209511975799697,0.244177591929098,-0.389407271130597,0.204240760712467,0.767042403306004,0.18996276224995,0.154880731384555,1.08270021157812,-0.0587258292830966,0.109819738025271,0.038942746518176,0.065449148426509,1.03914943000972,0.278346572109644,0.166674599602566,-0.118387536934743,-0.121760647713111,0.040156980054134,0.314204770268375,0.061171832448909,-0.111367401272195,-0.0783072787603409,-0.485171725314026,-0.157255779004141,0.0241773308061685,-0.168501336087304,0.129866289210144,0.0605313201064355,0.628733739571235,0.049078732847465,3.79196968604338,0.045454908931784,-0.210250593944796,0.578930269895663,0.330778292264953,0.22781742581061,0.208176706569049,-0.139049481186952,0.328906978862464,-0.540930924339045,-0.222407628509586,-0.253146841106366,-0.304785337255741,0.045735443810699,1.36975937635212,0.332818290336454,0.154906452283054,-0.101002606587056,-0.155167469736312,-0.129741675939371,0.0494072268417338,0.636433664861814,-0.0334032692539214,-0.208895689649821,-0.289742072687399,-0.0521354989205025,-0.756486775474776,-0.132620647880787,-0.0609154544571559,0.642813415354789,-0.119601943010388,0.0661231497538091,-0.00776796511938904,0.345067628986689,0.649288468702889,-0.128915497831978,-0.270484183760651,0.0323630301924438,0.018056120425229,0.34622297819542,-0.492025795540441,0.201215513750889,-0.158860550340794,-0.128520493925061,-0.277877927034256,0.163695038073429,0.978000623486661,-0.131250649287306,0.235811083887643,-0.212356191434831,0.210415326066138
"A0SJ",0.134355565586911,0.239883744317221,-0.173064404918774,-0.87828636345013,-0.166204568236034,-0.295792305247966,-0.292375098050384,0.137186254715365,-0.0410770883984889,-0.00452170855213863,-0.301838233328264,-0.218884812604538,-0.146858411971219,0.0603675359944861,0.0557045968274446,0.162264661774981,0.170399126328659,-0.426522823583974,0.118650367364756,0.119440372723061,0.00830643372831408,0.0954594714887546,0.174775892915593,1.35391650633309,0.0511552560191412,-0.267052067830788,-0.132930699806539,0.547215995161433,0.091682933737511,-0.107125585202844,-0.772596267930109,0.563689417244241,0.0148553929592762,-0.304034798064287,1.68362852901511,-0.220800214482956,-0.066154836140499,-0.440556678318649,-0.736229994339104,0.0770226876448686,1.01210865509842,0.701795699332272,0.29445479079281,0.442740926587916,0.245724233466731,-0.0826088251799714,-0.000406830937676017,0.281667939628689,0.196895827690951,0.022599776629821,0.235929096442867,0.356819652330789,1.0004302076705,0.303981014315198,0.368030592849641,2.32307186005231,0.390485929416996,0.052735164153756,0.537519074154346,0.347415515574429,0.287055638867271,-0.141507037879224,-0.121851160008125,0.255099180414236,-0.444679265643736,0.42519514445905,0.20449123133415,0.303403266424469,-0.137021266719844,0.0662139306980974,-0.291956316155429,-0.218499432621757,0.412067194021366,-0.865642461948616,0.386276531190649,-0.091709046755861,0.419351296927689,-0.548209381736526,-0.00103874165770901,0.184079594693125,-0.0549663443343608,0.198394587732021,0.488834532802076,1.04803965747851,0.366918764698736,-1.65423467183737,0.154286050329197,0.0534869060063211,-0.297062514778581,-0.057153525235924,-0.0256467615166939,2.63847645461523,-0.244495154810069,0.595120402104061,-0.228091462188739,-0.2344110443783,0.252008282755791,0.724508564555906,-0.028493564025622,-0.279989632378659,-0.207650792557967,-0.391599908751339,-0.616518697647599,-1.75378905492014,-0.654002696864484,-0.371154598112829,-0.325718297487509,-0.0226660662775754,0.416601658249211,0.0520901029508806,0.515636990024026,-0.344349071381259,-0.380947592946719,-0.161404936321364,-0.117295587888343,0.094172190689216,-0.139267517646282,0.978005016214971,-0.396673750751405,-0.188585882384649,1.27861471784076,-0.333597026022484,-0.390172244211844,-0.152152547148604,-0.287854084130354,0.0711551121367263,-0.27494497846596,-0.520086929737035,-0.115548829184679,0.000406830937676017,0.200794197006331,-0.141079048790014,-0.279409701005514,0.174649730017063,-0.560633717527214,0.226157742472641,-0.234425298996674,0.298064869991132,-0.498628162946049,0.378534764960181,-0.244211928723544,-0.240162443944257
"A0SK",0.218651974858437,2.34893798809484,0.479825382810346,1.28036788460204,0.825467626499618,0.00541675347750442,-0.0682347159557544,-0.850736831131339,-0.78191102600407,-0.102398627934608,0.062133275208911,0.211744227394931,-1.22437167234278,0.619539316485755,1.15604384930481,-0.0400199608807095,-0.215370588939701,-0.578671379537765,-0.112916054025255,2.24786967254382,-0.155035353788789,0.155350567432826,-0.038475690024429,2.51234650076843,-0.00541675347750442,-0.0420240381097851,0.148741033539245,0.882155222989095,-0.00703149421534249,0.0524481642209246,0.0110135535619795,-0.19302762874025,0.224335724696313,-0.396587354019444,-2.06426802815042,0.449588085009426,0.129690213408747,0.854373947854884,0.548337487384797,1.6121147633905,-0.893564200389865,1.22306293542925,-0.157374689668948,1.8614554270375,0.115275439713872,0.25999598563067,-1.01521269006577,0.120137697522066,-0.25800326901723,0.158187872066703,-3.72014185566481,-0.394891053704066,-0.191725571219225,0.15705248908412,0.21878193581489,1.73997040088126,-2.08640103840338,0.342988205282825,-0.467306960357634,-1.11442318538509,-0.502882988624239,-0.203023807907993,0.102669699890445,0.891425532905349,0.117447085855395,-0.720973257944588,-0.134644896809687,-0.518246040727472,-0.254012706488954,0.184386833697181,0.517226528229243,-0.179208902043151,-0.343819650511994,-0.659976095579317,0.778809555248754,-0.27652003552216,0.402562933448586,0.0596079668646154,0.395067421519311,0.172297462350464,-0.350386136912203,0.627240415415901,-0.425563517034785,1.76995355065757,0.829100300467862,0.265316270774736,-0.906158005618879,0.10337287228527,0.030489024019046,-0.125065736911485,-0.0899259036224285,-0.748829122534489,-0.0313566663417055,-0.300863114122209,-0.143956734600587,0.178230293495284,-0.52225314684524,0.155520702849025,-0.1820802826541,-0.23307943031889,0.219257245286964,0.0393964865722806,-0.917825720123389,-0.0475710898169646,-0.360203890646464,-0.726154895552074,-0.20693051960792,0.822646737479639,0.8423654975497,0.281217465217337,0.505917827806946,0.26639009250969,0.4079982521179,0.62636676782168,0.288241959611081,-0.0355588122680346,-0.311695880912826,-1.11040694296297,-0.142833428943326,0.487688975496604,-1.38300002925522,-0.245775482121587,-0.288657146905945,-0.296056980127771,-0.367562008357995,3.56745348029517,0.29709935081668,0.0974210901069094,0.0289995166073704,-0.735987674281545,0.145769202497674,-0.248322330636865,-0.538637097514244,1.38848385753662,0.567360906844544,0.277703655411041,-0.680524111617435,-0.651768475157738,1.33224139303464,-0.494482450332097,-0.171739079355195,-0.206527782858493
"A0SO",-0.1124943423502,0.278606576933735,0.177655410136985,0.672807174499066,0.458167060066995,0.0937740700997523,-0.0432143537233246,0.476558318406069,0.673355464214241,0.20954978589173,-0.628139213476254,0.0705543843061739,-1.47943539076707,0.417958966484555,0.947462649431066,0.67302406304931,0.489297723042123,-0.113288810121645,0.487905779396575,0.45902641400472,-0.0797154428759795,0.0629374368586158,0.130296335506072,-0.711834758071305,-0.0921891251436696,-0.298037938824832,-0.11597642747102,-0.558950756537746,0.63687337208892,-0.275970281147425,-0.51019585745117,0.35138688757764,-0.294512416742994,-0.379499551849241,-1.20166016859933,0.00322310811367133,-0.121927588380771,0.43566778931322,-0.180681374574745,-0.812382402415344,-0.422596647183215,0.44396724775277,-0.653852312949961,0.625000438203785,-0.575723613581622,-0.0444405994240672,-0.261846196778917,0.336402030803005,-0.2944552325147,-0.10678968175822,-4.03076698230738,-0.497894302297676,0.269468323251995,0.270737915500435,-0.0177975604791703,-0.0567444677382342,-2.0351524075793,0.461051881450815,0.548424879193945,0.101529754326019,-0.0374469996267396,0.181251154175014,-0.219974191177456,-0.577540578884283,0.887541359199444,-0.742195104246971,-0.291047007835951,0.0988223304417803,0.15312555349059,-0.213174818220988,0.644004769453053,-0.0833514663806327,0.473742433699835,-1.83055006663978,0.0642431041894158,-0.0414862770480397,0.0189333944778163,-0.233926929392372,0.0425937271888905,0.289223105779861,-0.070574905989217,-0.0852003486421794,1.11597195611109,0.640878984470676,0.386344526391465,0.0368336706957718,-0.00274458036975515,-0.0508478405376896,-0.0633055272803772,-0.281827093937295,0.0426336025457614,-1.15213763395141,-0.0480365660955396,0.168199216782781,-0.0687761102967432,-0.0365235678037822,-0.0805132252684816,0.150595168038915,-0.132112983084025,0.533158068623923,0.466073059133831,0.30785057652033,0.293202261432657,-1.53740592357898,-0.389354436308784,0.536091358096471,-0.42409348186054,-0.191680536593675,0.0186661510108905,-0.0458416500501622,0.230095869927819,-0.0499927212635998,0.0823602386942103,0.108188134423461,1.13946800008023,0.103737665700625,0.166183226531909,-0.0175911436982193,-0.0869565233060466,0.417876459272389,-0.0811601896447356,0.0951211526766095,0.0433087200160555,-0.304639299859384,0.187769625055945,0.656929181038173,-0.100973347976837,0.0791660579527113,0.0776829142826602,0.331379467710689,-0.149595153223958,0.376189772070395,-0.378961409515445,-0.0260711460377826,0.00274458036975515,-0.00484623890343968,-0.244559439334295,-0.0850107079228946,0.65673931193269,0.296942085106787,-0.245525561651805,0.0400488718847178
"A04N",0.0021149670760342,0.708654903116001,-0.206349627627811,0.649847555564575,0.183843462397549,-0.736912437412981,0.315945942745549,-1.09008777682797,-1.18856104956468,0.00936577214921863,-0.449889994375882,0.0269741942956647,-0.329672808204986,-0.269544993327481,-0.353201500161941,-0.616199152067622,0.11649246848909,0.589478548461299,0.186362943996329,1.21261806161184,0.0657562497815444,0.184719128675492,0.150700079611008,0.437471311608089,-0.173648030701146,-0.108193589382186,-0.0699605730685359,-0.370263217154092,-0.236045658675066,0.151186156889619,-0.00628652462849577,0.0087843585652142,-0.376913176891861,-0.357441536054885,0.338029590889269,0.0309258015856069,-0.0368930596013428,-0.404267645232046,-0.0308414583339208,-0.240689571931712,0.796867441091269,-1.6385053429584,-0.0933571580782673,-0.0962099261142505,0.317223675586252,0.0688757247011816,-0.427943929894962,0.211134689348906,0.0721875118805438,0.00150513029734423,-0.738839372895173,-0.454603430239412,0.128070377293929,0.0387354465928946,1.31632492991064,-0.20292303172485,-0.0133703181720328,0.254215379330059,0.0901142378956094,-0.445218029114218,-0.116394818629606,0.000100047554719762,0.114281312631809,-0.40842915883494,-0.697530865822943,0.138728619482529,-0.214812749379827,-0.0111444308205378,0.841205987069286,-0.0678564432837243,-0.350531290922474,-0.0662154419857988,0.354514438351719,2.37076418462243,0.486090342196708,0.571512936820538,0.145758264561149,-0.0591195175691949,0.0481375237584641,0.506890333118525,-0.0286905097397706,0.0671809911583044,0.102709788426309,1.21831034138898,-0.0997799290707809,0.558828929227995,0.0476273862250117,-0.278040542993346,-0.207855603060025,0.573423941915249,-0.115502073244171,3.51761818963809,-0.0369537150264457,0.154776351842564,-0.0049037563312273,-0.365678289087645,0.18352525109948,0.196789989944249,-0.000100047554719818,-0.0224437755481458,-0.501956662081774,0.825352396020344,0.216814318378124,-0.322969949125411,-0.0371666428858707,-0.218840570696961,0.0287840163399841,-0.0513302618170843,-0.174061591312416,-0.0102821561563283,-0.0309484582278908,0.0387683077141442,0.574124011918214,0.0199739845211987,-0.167047649483369,-0.0622505550666518,-0.424057624244486,0.797107894667144,-0.103075693423908,0.0308434577623141,0.820445519018249,-0.407620015251977,0.798441804715666,-0.0682904543125868,0.0366181786187892,0.809598452687599,0.00600475060135264,-0.291710974542992,-0.126587350551146,-0.356053998441591,0.202653612736126,-0.304447777241281,0.247434177672519,-0.0550978086355537,-0.0725314813501811,-0.244982419633206,0.0347883520628792,0.722223373106909,0.0340366334071042,-0.244347109839398,0.363496152252879,0.11459988703977
"A04P",0.071780289571536,-0.142614406359426,0.246397678393268,0.677173562322178,0.132051780744625,0.0160146966951078,0.277598235079898,-0.15725205837948,0.0717091860284418,-0.0846923785847558,0.782641101264359,0.0838039121915715,-1.39383174027514,-0.149758234027036,0.451207010508482,0.202869904688989,1.11693453622172,1.27116691146193,0.764475783153842,0.467366490720809,-0.0218081060071311,-0.00199920883066951,-0.124324258317452,-0.840661360997983,-0.281579426090229,0.0639426932460032,-0.25772051580331,-0.448678753585209,-0.167508802672711,-0.25328857628145,0.0338023609742839,0.414161824720632,-0.258805325792225,0.0377294217690869,-1.1621618593452,-0.088507409984605,-0.162324127824881,0.690330598785874,0.146117939528503,1.58219202556075,-1.10394211094249,0.242423458515047,-1.06988557773529,1.20271318996119,-0.477276972063539,0.156813911743392,0.203686263398896,0.860715542938166,0.506674891810049,-0.33561437757053,-1.3375790900423,-0.202932175059558,0.218992711219213,-0.102458383800159,0.179032937908539,-0.10917669848165,-1.15937103353517,0.987185569624674,0.358471102849674,-0.218922283775384,-0.236961249653762,0.0880167727176824,-0.0226277126894763,-1.45863831363872,-0.750479815203446,-0.692613189868301,-0.312239503132558,0.0776262223665058,-0.370772364504825,-0.153077393481955,0.473745672442342,0.0893590512450881,0.293103062710799,-1.44384214693725,0.100107769866122,-0.081127913286867,-0.20400469901013,-0.230384324524741,-0.200348068858114,0.499453705721113,0.797774118762407,0.221088951687596,0.220682490327308,0.45969351750322,-0.0517824158683979,1.06155436318669,-0.471471000443617,3.17795322863321,-0.0322455936156154,-0.119334181735092,-0.126394221380463,0.0758595186992692,0.363975268106795,0.155584271396437,1.18578547901521,-0.284204698209159,-0.412082651593716,0.611294033706504,-0.399180561264577,-0.6557235737215,0.801765172637139,0.40281927569982,0.445564381344922,0.0897890788182139,0.10938827920822,0.163868104597624,0.197103765034519,0.418653593544647,-0.347865685394398,-0.145262461851916,-0.506547817979086,-0.198941778685221,-0.351232480125081,-0.241890298887435,1.99575691679224,0.675165188549724,0.225725132697401,-0.699094982259601,0.020892863025558,-0.0877636799262751,0.512435081411054,-0.0348368707770701,0.144797965428616,-0.218398913525721,0.517259456071824,1.29692682678278,-0.0151081447594816,0.480960397520413,-0.13735736053801,-0.727054254308683,-0.0250379024261063,0.702585853729644,0.360738852972964,-0.255380458065329,-0.0606604450001365,0.184502996986401,-0.288007180474508,-0.619460607271416,-0.167377539108191,-0.0268025785765502,-0.0668372101975365,0.00199920883066929
"A04Q",0.308570947406611,-0.454783261006759,-0.0551579380735444,-0.38921099604768,0.227294312536156,-0.579941693775585,-0.177139701403094,-1.41827575375989,-0.758349252936866,-0.106159610500591,-0.156346371824862,0.26244240786501,-0.341213348562739,-0.0180730387531342,0.0351036226963063,0.262049982516495,-0.54839731039489,-0.0138757369193944,-0.0515300295158542,0.738328662778771,-0.586584468007416,0.377113705565712,-0.253372813702538,0.352241115021166,0.111324330986851,0.135584030279873,0.440670255131191,-0.0329796446889757,-0.145004901793989,0.270716636643036,0.397688136133286,0.372640727970451,0.0382431226702659,0.524787023924512,1.31640076216572,0.409846187588833,0.400611108228424,-0.352943602493259,0.474418804126796,-0.157614396548202,2.5265094049759,-1.41625082212973,0.824228775711325,0.011478106432116,-0.0548931046221699,-0.203211647864222,-0.123266480870876,0.632114135950599,0.353091338278711,0.524407036063191,-1.44095150695338,-0.320539791513932,-0.133789956458854,0.521525240550144,-0.7128935217751,-0.123815662341276,-1.33038785081585,-0.808568824616743,-0.666037641185267,-0.539757386142158,0.779125671479121,-0.190449225883858,0.504658671881525,2.2245098324941,-0.479386702023036,-0.441520010616695,0.472684609617626,-0.134362272467831,0.0253664691158758,0.31042264847306,-0.0673381890145451,0.0479156419426098,0.922422628396946,-0.687784016010883,0.104035544336033,-0.121325872450045,0.140947685794765,0.586582669435369,0.578241504439391,-0.475529574583116,-0.0776335760518629,0.644147775509221,0.196414296647606,-0.603816006488209,0.0363097664347657,-0.406618529206581,-0.500565718909773,-0.066990049628639,-0.00130084989708579,0.450003403439206,0.102259178791296,1.43321999927748,0.219634163491111,-0.144461801627119,-0.0812608094202857,-0.0391760034236456,-0.241428060969941,-0.756520588487696,0.174376621954379,-0.677558761555069,-0.265006245393717,-0.472322546416829,-0.442054932029289,0.00130084989708579,0.165234159808136,0.267844299633286,0.437563334041941,0.0778327771161493,0.0340704748644011,0.277215897039848,0.193376407153576,0.0404642425199208,0.562567442067941,0.609564864586834,-0.173748744573983,-0.288237982118603,-0.318001015996828,-1.12697547967994,0.161351259395677,0.0789391744594409,0.291650161303733,-0.858576063788814,-0.0916007234652142,0.0576945904320488,-0.0202579147901641,1.88739639303991,0.443014674436752,0.193227949714348,-0.0380269978610291,-0.0798089113803143,-0.0818217239429123,-0.518044417566878,-0.303017297753134,0.223936698848053,0.252987315504256,0.108194574855261,-0.186970701337704,-0.250136829784321,0.648966348901451,-0.565186936333529,0.301029384443925,0.0086882800041822
"A04T",-0.126095469430729,0.795198202634968,-0.0715975436937477,0.0115697881309168,0.0742395680178123,0.207132364525846,0.0568648192268724,-0.672679603494278,-0.210572094019428,-0.318032635462536,0.255365995669848,0.34229883402981,-1.39859683616402,-0.0443536701372977,1.45049477688547,0.530678469313808,0.0627998496634898,0.414982308295532,0.132292090296592,0.400402674489647,0.298102444603507,0.0116609526143387,-0.0952815133155711,-0.663393115571848,-0.248989499576819,0.0574266853482917,-0.354313706811725,-0.20959275855101,0.670755547931397,-0.0629157308083717,-0.097170565361947,-0.166286936196473,0.0708595364111394,0.897851016657445,-0.0587671665999276,-0.0673753571153868,0.102682768469002,0.676402229061154,0.0523858515785693,-0.42596997757608,0.0527513460962021,1.46856948026563,-0.742357650432797,1.09619608288242,-0.129162911169011,0.0830462909489539,0.404961960583014,0.0498061207827523,0.129540017947117,-0.286627944843323,-3.28264961901075,-0.453850778118515,0.868595827546142,-0.10955516587757,-0.124007149128643,0.579936637828117,-1.79064100616307,0.519437398359532,0.523427446385542,-0.328978429301012,-0.18556528320174,-0.0278102762178291,-0.068632354970148,-0.301198843586944,-0.701960532678626,-0.671701102810903,-0.400395021856188,0.177268504410595,-0.203707176839729,-0.214676683465368,0.64582875335335,0.0403899576787162,0.501584274649559,-0.389909366005636,-0.0179847811007392,0.384379931254811,-0.194801482929359,-0.308584991453893,-0.304694018727433,0.709784776321869,-0.0710951855763325,0.285652546419748,0.0133527625852754,-0.183888507669818,0.00618274712906242,0.447453586001231,-0.21004009502377,-0.000468711110012787,0.259372089875523,0.448100797438145,-0.09010799898885,-0.716359512480112,-0.0222904432918056,0.14523623707358,-0.244023170267961,-0.123984350150481,-0.105053350377463,0.0269779285379825,-0.170904522243534,-0.522322332369313,0.318008305339737,-0.0690542699548327,-0.145266686355609,0.143906470289162,-0.305769253698878,0.708192306864802,-0.0406360700101329,-0.384849598753473,-0.313601488168752,-0.0315947905090532,0.0896633829776664,-0.0962770722823727,0.339623546001647,0.0092694517819073,1.93172030638006,0.420854479181182,0.12193788265458,-0.161280174121503,0.0579939706537164,-0.231574131176819,-0.139003164564228,-0.0928049811274616,0.10435026146465,-0.252279915523857,0.963244026758963,1.26247350223056,-0.0934921138608135,0.00953605698420734,-0.0306185558980627,-0.236841248520165,0.448407723973992,0.0891086340552225,0.00464012586270235,0.0334716621647435,0.00492075540966819,0.0630182775696714,-0.0422578695342197,0.26936594443893,0.987330459731267,0.0453878264886883,-0.0282361188229281,0.000468711110012787
"A04U",-0.0277944751303403,0.542818804070456,-0.0188336552107951,0.133797581744229,0.272425235556425,0.809632659350499,0.080326199596695,-0.375900158988977,-0.236830869265105,0.00110765119782524,0.37184636960037,0.403202796879182,-1.14998746137051,0.101222192846225,0.959116478433751,-0.336642539567453,-0.132946401662699,-0.275855698712366,-0.354042173563565,-0.0668925737784403,-0.24990819316415,0.160230405440922,-0.149940432972959,0.00559753599928475,0.036403728218784,0.117778861803989,0.0570370961681777,-0.405470792254117,-0.21250444510538,-0.0984549099396151,0.00815718361118983,-0.26819017391648,0.498024559600869,-0.237003221888822,-0.586071033815565,0.0445279247924198,0.0168903599509708,0.588148159668046,0.250658860861915,-0.565438780633549,-0.00110765119782524,1.56119396402117,-0.325111392488441,1.28342567361743,-0.0727885312775942,0.280790582730957,-0.594492678551726,0.115383953030749,0.20837115824154,0.00495991614811991,-2.89714814450662,-0.226545759563644,0.754789072450975,-0.103251663262101,0.382309225778109,0.527103759012788,-1.75134225692863,0.151639106295965,-0.413047466830585,-0.547379227013312,-0.15543611424754,0.420653649544023,-0.0555498743022554,-0.514829073453731,-0.0111568128985721,-0.0244609934105001,-0.0585701956375936,-0.336251704361426,-0.397251217765531,-0.00506137746093932,0.454543363858513,0.361094564999429,-0.281581121054325,-0.186326962737894,0.154761320451433,-0.0150193350720663,0.397112315390526,-0.0160822366104782,-0.05410622722241,-0.165434076035378,0.233531361289321,0.36518545868016,0.27618879307792,0.64464022972768,0.333866398800425,0.127875182471277,-0.538288336475379,-0.0386921085274,-0.0177653323459047,-0.147200859567205,0.0204702426179308,-0.66470876413528,0.01643097218179,-0.15580953185147,0.715569792158287,0.354262703328325,-0.216864414495503,0.0300897512785449,-0.235778171088034,-0.63662832266342,0.454995058281797,0.23235004557394,-0.43371256875614,0.681124752345695,0.00743765263805479,0.601547448423495,-0.34668643717619,-0.0883378631251567,-0.01537291724581,0.0152489224003443,0.161125703453937,-0.12892997000751,-0.29917629885992,0.225939208468405,0.0542579931441098,-0.158704938932555,0.264376912555849,0.51484529924088,0.407749196417319,0.225562776807652,0.147305047374165,0.405826658552081,-0.104408842619616,-0.19137921504643,-0.072034331106895,-0.125485495659015,0.232358492597522,0.46625002288278,0.32677209530096,-0.517559343288135,0.234372905948052,0.283829649248585,-0.261620368153775,0.150345231064886,0.123830563576776,0.31994930650067,-0.190676803383365,-0.445487380486053,0.13537633507456,-0.183804928393665,-0.126011460760865,-0.159184663225609
"A04V",-0.201040259662049,-0.0671009158011935,-0.189331667645215,-0.71297890065258,-0.179127563371694,0.577941109380429,0.0676046501850256,-0.287635597999981,-0.425335983380535,0.266883568639119,0.758654061069291,0.065816920637796,0.538624414712576,0.278605895768326,-0.281334966668335,-0.0448961975835915,0.548686261700093,-0.540535108176505,-0.511894068953375,0.74262628001509,0.817293643603121,0.058900207744023,-0.17133952166446,1.28846193774892,-0.190538494763609,0.0138404913170969,-0.23405140304799,0.759320674780236,0.15087058809619,-0.112011034017194,-0.248818399020381,-0.3440392797189,-0.491587373260864,-0.713976475348737,0.900904452302236,-0.139183670276681,-0.0891221140946295,-0.326560864683129,-0.195137812053834,-0.163005120006849,-0.418614590327134,-0.39208656113117,0.245679908481199,0.0107869969948856,-0.0734053413254985,0.265587011089886,0.294529645867937,-0.0042573902510385,-0.3563118589729,-0.23043162495444,1.67372675777097,-0.107838032763861,0.749785866104835,0.3182918848157,0.109691617699441,0.987844213484395,2.45823384989402,0.505892393908385,-0.244077454815894,0.229859123121064,-0.0477438044971394,0.0738974073949411,-0.240261309666935,-0.922210584450085,1.03771829117844,0.70268792757637,0.105450246119551,0.00886795899327847,0.0597433649559035,-0.247998876604982,0.0837450368926834,-0.0349642650441875,-0.309374694274475,0.636815932942647,-0.193635577335316,0.252543138627404,-0.110210493773273,-0.151127194548926,-0.305684338221229,0.337796236259985,-0.0091583517406193,-0.178230780499469,-0.149553175511955,-0.189542083631899,-0.0644152749940944,0.216222430400813,0.341165996239581,0.183335761595801,0.0728085800777661,0.206790361234805,0.0042573902510385,-0.0541015037831995,-0.35759638714173,0.140347030398781,0.0979217608576363,-0.025485883994182,-0.0376254781948673,0.207070034743956,-0.0560078836233595,-0.495561911930569,0.290448707038353,0.481057187505291,-0.273389044589489,-0.172010070981434,-0.287784004837934,0.459925565497205,-0.47598407786559,0.130052856260868,0.23194334569128,-0.068769679373028,-0.112897757877614,-0.3338804241155,-0.50116912934036,-0.155623623023595,0.256223780278938,0.244033136452436,0.350221096011353,1.11678893250244,-0.0631738001177655,0.0179939165262445,0.180605206816388,0.188400293314202,0.0734377582908076,0.00556585612007665,0.590570602683265,-0.285667103909294,-0.164221971689966,-0.132711336926908,0.0335015698746504,0.16533249528803,-0.014270825291146,0.773724153808525,0.00722082176832556,0.3919165640182,0.0499727122758354,-0.0772142633040395,0.147078509472816,0.0344204839382876,-0.0184501386561997,0.128591190128642,-0.280595161995505,-0.16073415899972
